clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
ACEMOBI ATF D/M,,ACEITE MOBIL ATF D/M BOTE 946 MLTS,ACEITE MOBIL ATF D/M BOTE 946 MLTS,107.2,,,80,80,30,50
ACEMOB15W,,ACEITE MOBIL SUPER XO 15W40 BOTE 946 MLTS,ACEITE MOBIL SUPER XO 15W40 BOTE 946 MLTS,120.5,,,80,80,30,50
ACEITETPMA,,ACEITE TAP MAGIC 4 OZ #10004E 1413K31,ACEITE TAP MAGIC 4 OZ #10004E 1413K31,96.95,,,80,80,30,50
2794008,,AFLOJATODO 11 OZ 110078 WD-40,AFLOJATODO 11 OZ 110078 WD-40,92.41,,,80,80,30,50
WD40AFLOJATODO110078,,AFLOJATODO WD-40 11 OZ 110078,AFLOJATODO WD-40 11 OZ 110078,92.41,,,80,80,30,50
ANCL12,,"ANCLA ARPON 1/2"" X 5½ AA 12 512","ANCLA ARPON 1/2"" X 5½ AA 12 512",9.56,,,80,80,30,50
ancl500pz,,"ANCLA ARPON 3/8"" X 3 1/2 (500pz)","ANCLA ARPON 3/8"" X 3 1/2 (500pz)",5.19,,,80,80,30,50
APA15A120W,,APAGADOR L.A. SENC 15A 120V MARF #1451-ICP LEVITON,APAGADOR L.A. SENC 15A 120V MARF #1451-ICP LEVITON,23.53,,,80,80,30,50
APA130,,APAGADOR L.A. SENC 15A 120V MARF. #1301-V COOPER,APAGADOR L.A. SENC 15A 120V MARF. #1301-V COOPER,23.53,,,80,80,30,50
BARR54W46,,BARRA 54 W. LUZ DE DIA T5 G.E #46762/T5/850/ECO 5000K,BARRA 54 W. LUZ DE DIA T5 G.E #46762/T5/850/ECO 5000K,99.2,,,80,80,30,50
BARR54W,,BARRA 54W LUZ DE DIA T5 6500KPHILLIPS,BARRA 54W LUZ DE DIA T5 6500KPHILLIPS,99.2,,,80,80,30,50
BAT2RES6V,,BATERIA DE 2 RESORTES 6 V.,BATERIA DE 2 RESORTES 6 V.,52.08,,,80,80,30,50
BATERIAENERGIZERAAA,,BATERIA DURACEL ALKALINE AAA,BATERIA DURACEL ALKALINE AAA,9.25,,,80,80,30,50
BATDURAAA,,BATERIA DURACELL ALKALINE   AA,BATERIA DURACELL ALKALINE   AA,10.9,,,80,80,30,50
BATDURAAAA,,BATERIA DURACELL ALKALINE  AAA,BATERIA DURACELL ALKALINE  AAA,9.25,,,80,80,30,50
BATDURAAA,,BATERIA ENERGIZER IND/ALKALINE AA,BATERIA ENERGIZER IND/ALKALINE AA,10.9,,,80,80,30,50
BATDURAAA,,BATERIA ENERGIZER IND/ALKALINE AAA,BATERIA ENERGIZER IND/ALKALINE AAA,9.25,,,80,80,30,50
BOTEPLAST,,BOTE OPACO DE PLASTICO 1 LITRO,BOTE OPACO DE PLASTICO 1 LITRO,6.18,,,80,80,30,50
BROCH11P1D2A,,"BROCHA LA BUENA 1""  BYP  BBU10","BROCHA LA BUENA 1""  BYP  BBU10",7.75,,,80,80,30,50
BROCH11P1D2A,,"BROCHA LA BUENA 2""  BYP  BBU20","BROCHA LA BUENA 2""  BYP  BBU20",13.82,,,80,80,30,50
BROCHALA BUENA3,,"BROCHA LA BUENA 3"" BYP BBU30","BROCHA LA BUENA 3"" BYP BBU30",18.35,,,80,80,30,50
"BROCH2""",,"BROCHA LA REGIA 2"" BYP BRE-20","BROCHA LA REGIA 2"" BYP BRE-20",13.82,,,80,80,30,50
"BROCHLR3""",,"BROCHA LA REGIA 3"" BYP BRE30","BROCHA LA REGIA 3"" BYP BRE30",15.44,,,80,80,30,50
CG2000,,CAJA DE 20000 GRAPAS DE 1 ¼ X 5/8,CAJA DE 20000 GRAPAS DE 1 ¼ X 5/8,"1,920.48",,,80,80,30,50
CEPMADBRO,,CEPILLO T.DENTAL DE MADERA BRONCE,CEPILLO T.DENTAL DE MADERA BRONCE,22.88,,,80,80,30,50
CIADMEG,,CINTA ADHESIVA MAGICA 3/4 X 36,CINTA ADHESIVA MAGICA 3/4 X 36,17.45,,,80,80,30,50
CINRAF914,,"CINTA ALUMINIO 2"" X 50 YDS. SHURTAPE LH AF914","CINTA ALUMINIO 2"" X 50 YDS. SHURTAPE LH AF914",173.29,,,80,80,30,50
CINCA2X100,,CINTA CANELA 2 X 100 MTS. 182 TUK,CINTA CANELA 2 X 100 MTS. 182 TUK,27,,,80,80,30,50
"CINCA2""",,"CINTA CANELA 2"" X 100 NAVITEK 95 EXTRA","CINTA CANELA 2"" X 100 NAVITEK 95 EXTRA",17.55,,,80,80,30,50
CINDEDAL18MMX18,,CINTA DEDAL VERDE 18MM X18 MTS 740 TUK,CINTA DEDAL VERDE 18MM X18 MTS 740 TUK,14.29,,,80,80,30,50
CNTGRIS2X60,,"CINTA GRIS P/DUCTO 2"" X 60 YDS","CINTA GRIS P/DUCTO 2"" X 60 YDS",78.18,,,80,80,30,50
"CINTTAP1""",,"CINTA MASKING TAPE 1"" X 50 USO GENERAL NAVITEK 125","CINTA MASKING TAPE 1"" X 50 USO GENERAL NAVITEK 125",18,,,80,80,30,50
CINTINDUS3M,,CINTA METRICA INDUSTRIAL 3M 1583 LH URREA,CINTA METRICA INDUSTRIAL 3M 1583 LH URREA,58.97,,,80,80,30,50
CINTANAV,,"CINTA NAVITEK HOT METT ""500"" 48MM2"" X150M CANELA","CINTA NAVITEK HOT METT ""500"" 48MM2"" X150M CANELA",25.5,,,80,80,30,50
CINTA33MEX3/4,,"CINTA SCOTCH SUPER 33  MEX 3M  3/4""   ME900103271  CINTRA ELECTRICA VINILICA","CINTA SCOTCH SUPER 33  MEX 3M  3/4""   ME900103271  CINTRA ELECTRICA VINILICA",75.07,,,80,80,30,50
CINTEF01P1B2C,,"CINTA TEFLON  13mm 1/2"" X 260","CINTA TEFLON  13mm 1/2"" X 260",2.77,,,80,80,30,50
CINTTEF19mm,,"CINTA TEFLON  19mm 3/4"" X 260","CINTA TEFLON  19mm 3/4"" X 260",3.73,,,80,80,30,50
CINTTEFL25MM,,CINTA TEFLON 25 MM 1'' X 260,CINTA TEFLON 25 MM 1'' X 260,5.1,,,80,80,30,50
CINTA2X100,,CINTA TRANSPARENTE 2X100 MTS 258232 182-T TUK,CINTA TRANSPARENTE 2X100 MTS 258232 182-T TUK,18.5,,,80,80,30,50
CINTA100,,"CINTA TRASPARENTE 2"" X 100 NAVITEK 95 EXTRA","CINTA TRASPARENTE 2"" X 100 NAVITEK 95 EXTRA",17.46,,,80,80,30,50
CLAVI20A,,CLAV. LEVITON M.V. 3P 4H 20AV 125/250V #2411 NEMA L14-20P,CLAV. LEVITON M.V. 3P 4H 20AV 125/250V #2411 NEMA L14-20P,294.75,,,80,80,30,50
CLACOOAMA2867,,CLAVIJA COOPER 2P 3H 15A 125V BLIN.AMARILLA #2867-BOX,CLAVIJA COOPER 2P 3H 15A 125V BLIN.AMARILLA #2867-BOX,29.25,,,80,80,30,50
CON270,,CONT.SUPPLIER L.A. 15A 125VDOBLE MARFIL #EE-270,CONT.SUPPLIER L.A. 15A 125VDOBLE MARFIL #EE-270,11.38,,,80,80,30,50
CONTA2887,,CONTACTO COOPER 2P 3H 15A 125V BLIN.AMARILLO #2887-BOX NEMA 5-15R,CONTACTO COOPER 2P 3H 15A 125V BLIN.AMARILLO #2887-BOX NEMA 5-15R,46.45,,,80,80,30,50
CONTACLEV5320,,CONTACTO LEVITON LINEA ANTIGUA 15A 125V DOBLE MARFIL #5320-ICP,CONTACTO LEVITON LINEA ANTIGUA 15A 125V DOBLE MARFIL #5320-ICP,11.38,,,80,80,30,50
CREDESNAR3.78,,CREMA DESENGRASANTE GOJO NARANJA GAL. 3.78L945,CREMA DESENGRASANTE GOJO NARANJA GAL. 3.78L945,300.42,,,80,80,30,50
CUELL2699,,CUELLO DE CERA C/GUIA #2699 FAMA,CUELLO DE CERA C/GUIA #2699 FAMA,16.84,,,80,80,30,50
DIS/AUX582,,DISCO DE CORTE 12 X 3 3/32 1 1/4 AUXTROMEX 582,DISCO DE CORTE 12 X 3 3/32 1 1/4 AUXTROMEX 582,280,,,80,80,30,50
FRA03826,,DISCO DE CORTE AUSTROMEX #506 3 X 1/16 X 1/4,DISCO DE CORTE AUSTROMEX #506 3 X 1/16 X 1/4,33.84,,,80,80,30,50
DISME250X1.6,,DISCO DE CORTE METAL 250x1.6 X32.00 #579 AUSTROMEX 10X1/16X-1/4,DISCO DE CORTE METAL 250x1.6 X32.00 #579 AUSTROMEX 10X1/16X-1/4,289.62,,,80,80,30,50
DOSFLT,,DOSIFICADOR PARA LITRO,DOSIFICADOR PARA LITRO,12.08,,,80,80,30,50
ESPRIGMGO,,ESPATULA RIGIDA MGO MAD. ET-3R 3 TRUPER 14442,ESPATULA RIGIDA MGO MAD. ET-3R 3 TRUPER 14442,37.23,,,80,80,30,50
"ESP2""",,"ESPATULA RIGIDA MGO. MAD 2"" ET-2R 14441 TRUPER","ESPATULA RIGIDA MGO. MAD 2"" ET-2R 14441 TRUPER",33.8,,,80,80,30,50
2902999,,FIBRA ABRASIVA GRAND GUIN SB 7447B C/60PZ 61500123239,FIBRA ABRASIVA GRAND GUIN SB 7447B C/60PZ 61500123239,28.7,,,80,80,30,50
FIBR744PZA,,FIBRA ABRASIVA GRAND GUIN 7447B SCOTH-BR PZA 615000123239,FIBRA ABRASIVA GRAND GUIN 7447B SCOTH-BR PZA 615000123239,28.7,,,80,80,30,50
FLPLNEG1/2,,"FLEJE DE PLASTICO NEGRO (ROLLO) 1/2"" 816MTS","FLEJE DE PLASTICO NEGRO (ROLLO) 1/2"" 816MTS",266,,,80,80,30,50
FUS10AMP600V,,FUSIBLE ATQR  10 AMP. 600V FERRAZ SHAWMUT,FUSIBLE ATQR  10 AMP. 600V FERRAZ SHAWMUT,69,,,80,80,30,50
FUFNQ10J1P1F,,FUSIBLE FNQ 500V AC 10AMP,FUSIBLE FNQ 500V AC 10AMP,89.2,,,80,80,30,50
FKTKR02P1A3A,,FUSIBLE KTK-R 600V 2 AMP,FUSIBLE KTK-R 600V 2 AMP,130.29,,,80,80,30,50
GALONOPAC,,GALON REDONDO INDUSTRIAL OPACO NUEVO,GALON REDONDO INDUSTRIAL OPACO NUEVO,8.9,,,80,80,30,50
"GRAP1""CO",,"GRAPA DE 1""CORONA X1"" DE LARGO CAJA 10000PZ (16G WC /UFP13)","GRAPA DE 1""CORONA X1"" DE LARGO CAJA 10000PZ (16G WC /UFP13)","1,567.57",,,80,80,30,50
GUANTENYLON10,,GUANTE DE NYLON C/ POLIURETANO NEGRO #10,GUANTE DE NYLON C/ POLIURETANO NEGRO #10,14.61,,,80,80,30,50
GUANTENYLON6,,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,14.61,,,80,80,30,50
GUANTENYLON7,,GUANTE DE NYLON C/ POLIURETANO NEGRO #7,GUANTE DE NYLON C/ POLIURETANO NEGRO #7,14.61,,,80,80,30,50
GUANTENYLON8,,GUANTE DE NYLON C/ POLIURETANO NEGRO #8,GUANTE DE NYLON C/ POLIURETANO NEGRO #8,14.61,,,80,80,30,50
GUANTENYLON9,,GUANTE DE NYLON C/ POLIURETANO NEGRO #9,GUANTE DE NYLON C/ POLIURETANO NEGRO #9,14.61,,,80,80,30,50
GUAT10S610,,GUANTE DE NYLON GRIS C/POLIRETANO GRIS PAR #10 SUK-610,GUANTE DE NYLON GRIS C/POLIRETANO GRIS PAR #10 SUK-610,14.61,,,80,80,30,50
GUANTENYLON6,,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,14.61,,,80,80,30,50
GUANTC/NIT,,GUANTE DE NYLON NEGRO C/ POLIRETANO GRIS PAR #7 SUK-610,GUANTE DE NYLON NEGRO C/ POLIRETANO GRIS PAR #7 SUK-610,14.61,,,80,80,30,50
GUANTN8S,,GUANTE DE NYLON NEGRO C/ POLIRETANO GRIS PAR #8 SUK-610,GUANTE DE NYLON NEGRO C/ POLIRETANO GRIS PAR #8 SUK-610,14.61,,,80,80,30,50
GUANT9NSUK,,GUANTE DE NYLON NEGRO C/ POLIRETANO GRIS PAR #9 SUK-610,GUANTE DE NYLON NEGRO C/ POLIRETANO GRIS PAR #9 SUK-610,14.61,,,80,80,30,50
GUANTEJAPONESGR,,GUANTE JAPONES GRIS 3 HILOS,GUANTE JAPONES GRIS 3 HILOS,6,,,80,80,30,50
GUANTEJAPONESGR,,GUANTE JAPONES GRIS 3 HILOS,GUANTE JAPONES GRIS 3 HILOS,6,,,80,80,30,50
SEGURIDADLENTES,,LENTE DE SEGURIDAD CLARO,LENTE DE SEGURIDAD CLARO,14.19,,,80,80,30,50
LIJ3X48R821,,"LIJA DE BANDA 6""  X 48""  R821 GRANO 60","LIJA DE BANDA 6""  X 48""  R821 GRANO 60",166,,,80,80,30,50
LIP/A120H,,LIJA P/AGUA A-99  G- 120 HOJA,LIJA P/AGUA A-99  G- 120 HOJA,7.7,,,80,80,30,50
LIJG220PZK2B,,LIJA P/AGUA A-99  G- 220 HOJA,LIJA P/AGUA A-99  G- 220 HOJA,6.35,,,80,80,30,50
LIJAP/AGUA A-99,,LIJA P/AGUA A-99  G- 600 HOJA,LIJA P/AGUA A-99  G- 600 HOJA,6.35,,,80,80,30,50
LI/AGUAG80,,LIJA P/AGUA C99 G-80,LIJA P/AGUA C99 G-80,9.45,,,80,80,30,50
LIMPDC,,LIMPIADOR DE CONTACTO 3116 LPS 11 oZ,LIMPIADOR DE CONTACTO 3116 LPS 11 oZ,428.29,,,80,80,30,50
3344745,,LOCTITE COMPUESTO DE RETENCION 260ML 680,LOCTITE COMPUESTO DE RETENCION 260ML 680,"3,965.95",,,80,80,30,50
MANDIL35X45,,MANDIL AZUL DE VINIL 35X45,MANDIL AZUL DE VINIL 35X45,25,,,80,80,30,50
MANANT02,,MANGA KEVLAR ANTICORTANTE C/ORIFICIO EN PULGAR,MANGA KEVLAR ANTICORTANTE C/ORIFICIO EN PULGAR,69.52,,,80,80,30,50
UMARKAZUL,,MARCADOR PERMANENTE U MARK A20 AZUL,MARCADOR PERMANENTE U MARK A20 AZUL,46.55,,,80,80,30,50
UMARKBLANCO,,MARCADOR PERMANENTE U MARK A20 BLANCO,MARCADOR PERMANENTE U MARK A20 BLANCO,46.55,,,80,80,30,50
UMARKNARANJA,,MARCADOR PERMANENTE U MARK A20 NARANJA,MARCADOR PERMANENTE U MARK A20 NARANJA,46.55,,,80,80,30,50
UMARKNGOA20,,MARCADOR PERMANENTE U MARK A20 NEGRO,MARCADOR PERMANENTE U MARK A20 NEGRO,37.8,,,80,80,30,50
UMARKROJO,,MARCADOR PERMANENTE U MARK A20 ROJO,MARCADOR PERMANENTE U MARK A20 ROJO,46.55,,,80,80,30,50
UMARKA20AMA,,MARCADOR PERMANENTE UMARK A20 AMARILLO,MARCADOR PERMANENTE UMARK A20 AMARILLO,37.8,,,80,80,30,50
UMARKA20VERD,,MARCADOR PERMANENTE UMARK A20 VERDE,MARCADOR PERMANENTE UMARK A20 VERDE,37.8,,,80,80,30,50
SHAAZUPFINO,,MARCADOR SHARPIE PERM. P.FINO AZUL,MARCADOR SHARPIE PERM. P.FINO AZUL,14.21,,,80,80,30,50
SHANEGPFINO,,MARCADOR SHARPIE PERM. P.FINO NEGRO,MARCADOR SHARPIE PERM. P.FINO NEGRO,14..21,,,80,80,30,50
OVERDESECHA,,OVEROL DESECHABLE GRANDE BLANCO,OVEROL DESECHABLE GRANDE BLANCO,40.5,,,80,80,30,50
PAPBONDBCO500,,PAPEL  BOND  BLANCO T/ CARTA  C 500,PAPEL  BOND  BLANCO T/ CARTA  C 500,66.94,,,80,80,30,50
PAPENEX,,PAPEL BOND MARCA NEXTEP PAQUETE,PAPEL BOND MARCA NEXTEP PAQUETE,66.94,,,80,80,30,50
PELICULA18X60X1300FT,,PELICULA ESTIRABLE 18 X 60 X 1300FT,PELICULA ESTIRABLE 18 X 60 X 1300FT,76.3,,,80,80,30,50
PELI18X70X1500,,PELICULA ESTIRABLE 18 X 70 X 1500 FT,PELICULA ESTIRABLE 18 X 70 X 1500 FT,124.6,,,80,80,30,50
PERILLARANAP/WC,,PERILLA RANA P/WC KORKY USA,PERILLA RANA P/WC KORKY USA,,,,80,80,30,50
PINZAPCONICA170M,,PINZA PUNTA CONICA C/RES 5 MOD. 170M URREA,PINZA PUNTA CONICA C/RES 5 MOD. 170M URREA,134.85,,,80,80,30,50
BICPMAZUL,,PLUMA BIC  P.M  AZUL,PLUMA BIC  P.M  AZUL,3.12,,,80,80,30,50
BICPMNEGRO,,PLUMA BIC P.M. NEGRO,PLUMA BIC P.M. NEGRO,3.12,,,80,80,30,50
REPPROD,,REPUESTO P/RODILLO C/FELPA DE 3/4 X4   ALTA DENSIDAD BYP FEC14,REPUESTO P/RODILLO C/FELPA DE 3/4 X4   ALTA DENSIDAD BYP FEC14,34.68,,,80,80,30,50
